Sentence,Option 1,Option 2,Option 3,Option 4,Correct answer,Meaning 1,Meaning 2,Meaning 3,Meaning 4
この映画は____のストーリーが繋がっている。,一括,一帯,一同,一連,一連,batch; lump; collective,region; area; district,everyone; all (people present),series; sequence
彼の言葉には____に誘われるような魅力があった。,勧誘,作用,保養,誘惑,誘惑,invitation; solicitation,effect; action,recreation; health treatment,temptation; lure
彼は私の意見に____した。,合致,協調,同調,同意,同意,agreement; match,cooperation; harmony,sympathy; tuning,agreement; consent
彼は学校で____しているように見える。,孤独,独立,自立,孤立,孤立,loneliness; isolation,independence; self-reliance,self-sufficiency,solitude; loneliness
彼は自分の感情を____している。,圧迫,迫害,抑圧,抑制,抑制,restraint; suppression,oppression; pressure,persecution; oppression,restraint; suppression
新製品の____を展示会で発表した。,模索,模範,模倣,模型,模型,exploration,example,imitation,model
彼はその事実について____した。,信任,信頼,予言,断言,断言,trust,reliance,prediction,assertion
彼の主張には____が欠けているように思う。,異論,合理,無論,論理,論理,objection,rationality,of course,logic
招待状を受け取ったが、都合により____させていただきます。,謝絶,否定,避難,辞退,辞退,refusal,denial,evacuation,refusal (of offer)
この施設は最大500人の____が可能です。,許容,収集,占領,収容,収容,tolerance,collection,occupation,accommodation
彼の意見には学者としての____が感じられた。,威力,迫力,権限,権威,権威,power; force,intensity; impact,authority; jurisdiction,authority; prestige
初めて会ったとき、彼は信頼できる人だという____が働いた。,主観,悲観,予感,直感,直感,subjectivity,pessimism,premonition,intuition
留学を通じて、彼女は自分の____を広げることができた。,見地,視点,観点,視野,視野,standpoint,viewpoint; perspective; angle of view,perspective,field of vision
会社は新しい社員を____しています。,案内,応募,捜索,募集,募集,information; guidance,application,search; investigation,recruitment; hiring
彼の意見には____する。,同情,共感,共鳴,同感,同感,same feeling; agreement,sympathy; compassion,empathy,resonance; sympathetic response
東京の人口は____状態にある。,窮屈,不潔,不服,過密,過密,cramped; tight,unclean; dirty,dissatisfaction,overcrowded; congested
自由という____は人によって異なる。,意識,文脈,様相,概念,概念,consciousness; sense,context (liguistic),aspect; phase,concept; idea
これは____事態だから、すぐに対応が必要だ。,異常,多忙,不意,緊急,緊急,abnormality; disorder,very busy; pressure of work,sudden; unexpected,emergency; urgency
両国の代表が平和____を始めた。,会見,対話,譲歩,交渉,交渉,interview; meeting,dialogue,concession; compromise,negotiation; discussions
彼の冗談に誰も____しなかった。,応答,返答,対応,反応,反応,reaction; response,reply; response,reply; answer,handling; response
彼は____的に参加させられた。,圧迫,催促,一致,強制,強制,pressure; oppression,urging; demand,agreement; match,coercion; force
彼は体調不良のため試合を____した。,欠席,廃棄,放置,棄権,棄権,absence; nonattendance,disposal; abandonment,neglect; abandonment,abstention
市民たちは新しい政策に対して____の声を上げた。,協議,決議,物議,抗議,抗議,discussion; consultation,resolution; decision,public controversy; debate,protest; objection
このプログラムは専門家の____を目的としている。,生育,成熟,成長,養成,養成,growth; development (of plants; children),maturity; ripeness,growth; development (in general),training; development (of skills)
彼女の____な発言に会場がざわついた。,盛大,膨大,大体,大胆,大胆,grand; magnificent,enormous; vast,generally; approximately,bold; daring
このアプリは利用時間に____がある。,拘束,束縛,統制,制限,制限,restraint; binding,restriction; restraint (emotional or psychological),control; regulation,restriction; limitation
雪が降り、庭は____の銀世界になった。,一面,一見,一目,一部,一面,one side; one aspect,at a glance; seemingly,a glance; a look,one part; a portion; some
そのチームは相手を____する力を持っている。,圧倒,抑圧,重圧,圧縮,圧倒,overwhelm; overpower,oppression; suppression; repression,heavy pressure; stress,compression; condensation
両者の話し合いは____にまとまった。,円満,健全,寛容,精巧,円満,harmonious; peaceful; amicable,sound; wholesome; healthy,tolerance; generosity,elaborate; delicate
けが人は通行人に____された。,介抱,救済,養護,奨励,介抱,nursing; caring for,relief; aid,protection; support,encouragement; incentive
安全な避難経路を____する必要がある。,確保,確信,確立,確率,確保,securing; ensuring; obtaining,conviction; belief; confidence,establishment; foundation of,probability; likelihood
そんな____な運転をしてはいけない。,無茶,無効,無念,無口,無茶,unreasonable; reckless,invalid; null and void,regret; disappointment,reticent; quiet; not talkative
不正が発覚し、賞品は____された。,没収,収集,収容,徴収,没収,confiscation; forfeiture,collection; gathering,accommodation; housing,collection (of fees; taxes etc.)
面接では____な答えだけでは印象に残らない。,無難,非難,避難,苦難,無難,safe; acceptable; without risk or fault,criticism; blame,evacuation; escape,hardship; suffering
どんな状況でも____に判断することが大切だ。,理性的,理屈的,理解的,理知的,理性的,rational; logical,theoretical; argumentative,understanding; empathetic,intellectual; intelligent; wise
資金の____方法について専門家に相談した。,運用,運搬,運行,運営,運用,operation; management; utilization,transportation; carrying,operation (of vehicles); service (of trains etc.),management; administration
これは私の専門____です。,領域,領土,領事,領地,領域,domain; area (of expertise or influence),territory; domain (country or state),consul (diplomatic official),territory; domain (land owned or controlled by someone)
彼は毎月の給料を____している。,浪費,経費,出費,実費,浪費,wasteful spending; squandering,expenses; overhead costs (often business-related),expenditure; outlay; spending,actual cost; out-of-pocket expense
火の____を間違えると、料理が焦げてしまう。,加減,場合,調子,都合,加減,adjustment; degree;,case; situation;,condition; tone,convenience; availability
けが人に____処置を施した。,応急,救援,救助,応援,応急,emergency (first aid),relief; rescue,rescue; saving,support; cheering
問題が発生したら、____に対応する必要がある。,迅速,切実,敏感,頻繫,迅速,swift; prompt,earnest; urgent,sensitive; responsive,frequent; often occurring
過去の事例から____して対策を立てた。,類推,予知 ,予言,推進,類推,analogy; reasoning by analogy,prediction; foresight,prophecy; prediction,promotion; advancement
仕事の____にコーヒーを飲んだ。,合間,合間,空間,仲間,合間,break; spare moment,time and effort; labor,space; room,companion; colleague
緊急時には冷静に____することが求められる。,対処,対面,対比,対等,対処,dealing with; coping,meeting face-to-face,contrast; comparison,equality; equal footing
彼はいつも____な性格で、周囲を元気づけている。,明朗,明確 ,明解,明白,明朗,cheerful; bright (atmosphere),clear; definite,clear and easy to understand,obvious; evident
環境への____が感じられるデザインだ。,配慮,気配,配置,分配,配慮,consideration; thoughtfulness,sign; indication,arrangement; layout,distribution; allocation
彼の発言には____が感じられた。,良識,良性,良好,良質,良識,common sense; good sense,benign; non-malignant,favorable; satisfactory,high quality; fine quality
この映画は戦後の日本を____にしている。,背景,景色,景気,光景,背景,background; context,scenery; landscape; view,economic conditions,scene; spectacle
彼は____的に物事を考えることが多い。,楽観,間接,平均,伝統,楽観,optimism; hopefulness,indirect,average (in statistics),tradition; custom:
彼は____な若手選手として注目されている。,有望,有効,有利,有益,有望,promising; hopeful; with potential,effective; valid,advantageous; favorable,beneficial; useful; profitable
会議の時間を____するために議題を絞った。,短縮,縮小,軽減 ,減量,短縮 ,shortening; reduction in time or length,downsizing; reduction in size or scale,alleviation,weight loss; reduction in amount
その発明は____な技術として注目された。,画期的,周期,定期,末期,画期的,groundbreaking; revolutionary,cycle; period (of time),regular; periodic,final stage; last phase
____の拍手の中で彼は登場した。,満場,満足,満員,満身,満場,full assembly; the entire audience,satisfaction; contentment,full (e.g. a crowded train or event),whole body; with all one's might
新しいプロジェクトは来月____する予定だ。,発足,発生,発作,発進,発足,establishment; founding,occurrence; happening,fit; seizure; attack (e.g. of illness),departure; launch; takeoff
新しい環境に____することが必要だ。,適応,反応,応用,応答,適応,adaptation; adjustment,reaction; response,application (of knowledge or skills),reply; response
詳細についてはマニュアルを____してください。,参照,参考,解説,解釈,参照,reference; consultation,reference; guide,explanation; commentary,interpretation; explanation (of meaning)
彼は最近____で体調を崩している。,過労,過多,過剰,過密,過労,overwork; fatigue from excessive work,excess; too much,excess; surplus,overcrowding; overpopulation
新しい法律が企業の活動に____を導入した。,規制,規格,規模,規約,規制,regulation; restriction,standard; specification,scale; scope; size,rules; terms; agreement
彼女は自分の意見を強く____した。,主張,調和,同調,説得,主張,assertion; claim; insistence,harmony; balance,sympathy; alignment,persuasion; convincing
医者に____を勧められたので、しばらく仕事を休むことにした。,休養,休日,休業,休憩,休養,rest; recuperation,day off; holiday,suspension of business; temporary closure,break; recess; rest
問題の重要性を正しく____することが必要だ。,認識,常識,知識,見識,認識,ecognition; awareness; understanding,common sense; general knowledge,knowledge; information,discernment; insight
成功するためには、____な準備が不可欠だ。,確実,的確,確保,正確,確実,ertainty; reliability; sure,accurate; precise; appropriate,securing; ensuring; maintaining,correctness; accuracy
海外旅行には今が最適な____かもしれない。,時期,期間,期限,時間,時期,time; season; period,duration; period of time (with start and end),deadline; time limit; due date,time; hour(s)
彼の年齢を____して配属先を決めた。,考慮,思考,想像,促進,考慮,consideration; taking into account,thinking; thought process,imagination; supposition,promotion; facilitation
____な投資は大きなリスクを伴う。,無計画,非公開,不平等,未開発,無計画,unplanned; without a plan,private; not open to the public,inequality; unfairness,undeveloped; unexploited
期限が過ぎたクーポンは____になります。,無効,無益,無駄,無為,無効,invalid; ineffective,useless; unprofitable,wasteful; pointless; futile,inaction; doing nothing; idleness
手術後はしばらく____にしていなければならない。,安静,安全,用心,冷静,安静,rest; quiet; staying calm (health recovery),safety; security,caution; care; vigilance,calmness; composure
彼は厳しい選考を____して最終面接に進んだ。,突破,突出,突進,突入,突破,breakthrough; overcoming,protrusion; standing out,rush; charge; dash forward,rush into; plunge into
あの選手は最後まで____粘りを見せた。,しぶとい ,だるい,でかい,たやすい,しぶとい ,stubborn; persistent,sluggish; weary; feeling heavy,huge; big (colloquial),easy; simple; effortless
話しかけたのに、彼は____返事をしただけだった。,そっけなく,ばかばかしく,すまなく,いやしく,そっけなく,bluntly; curtly; coldly,absurdly; ridiculously; foolishly,apologetically; feeling sorry,greedily; vulgarly; disgracefully
____記憶では、彼はその日に来なかったと思う。,あやふやな,あべこべな,だぶだぶな,ふわふわな,あやふやな,vague; ambiguous; uncertain,reversed; opposite,baggy; too loose,fluffy; soft; light
部屋の中は火のせいで____。,けむたかった,くもりだった,くもった,けむりだった,けむたかった,smoky; hard to breathe (due to smoke),was cloudy,was fogged up; became cloudy,was smoke
熱は下がったが、体がまだ____。,だるい,うつろだ,かすかだ,なさけない,だるい,sluggish; weary; feeling heavy,vacant; hollow; empty (expression),faint; dim; slight,pathetic; miserable; shameful
一緒に頑張ってくれる仲間がいるのは____。,こころづよい,きまりわるい,こころよい,たやすい,こころづよい,reassuring; encouraging; heartening,awkward; embarrassed; ashamed,pleasant; agreeable; willing,easy; simple; effortless
彼は少し転んだだけなのに、____に痛がっていた。,大げさ,大まか,長々,緩やか,大げさ,exaggerated; overblown,rough; broad,lengthy; long-winded,gentle; slow; loose; lenient
彼の服装は汚れていて、とても____。,みぐるしかった,はかなかった,みすぼらしかった,むさくるしかった,みぐるしかった,unsightly; disgraceful,fleeting; short-lived; vain,shabby; seedy; poorly dressed,untidy; messy; dirty-looking
このような対策が早急に取られるのが____。,のぞましい,ふさわしい,まちどおしい,めざましい,のぞましい,desirable; preferable,suitable; appropriate; fitting,eagerly awaited; long-awaited,remarkable; striking; noteworthy
困難に立ち向かう彼の姿はとても____。,たくましい,いやらしい,このましい,なれなれしい,たくましい,strong; robust; sturdy,indecent; unpleasant; lewd,likable; desirable,overly familiar; too friendly; intrusive
試合は予想に反して____終わってしまった。,あっけなく,そっけなく,はかなく,ものたりなく,あっけなく,disappointingly quickly; too soon; anticlimactically,curtly; coldly; bluntly,fleetingly; briefly; vainly,unsatisfyingly; feeling something is missing
客に対して____対応をするのはよくない。,ぞんざいに,おろかに,おろそかに,つきなみに,ぞんざいに,rudely; carelessly; disrespectfully,foolishly; stupidly,negligently; carelessly; inattentively,commonly; ordinarily; mediocrely
知り合いが誰もいない場所に行くのは____。,こころぼそい,うっとうしい,なさけない,ものたりない,こころぼそい,lonely; helpless; insecure,gloomy; annoying; bothersome,pathetic; shameful; miserable,unsatisfying; lacking something; not enough
彼は口が____ので、秘密を話しても安心だ。,かたい,おもい,きつい,つよい,かたい,tight-lipped; discreet,slow to speak; reserved,sharp-tongued; blunt,persuasive; influential in speech
書類の手続きが____と感じる人は多い。,わずらわしい,まちどおしい,みすぼらしい,みすぼらしい,わずらわしい,troublesome; annoying; bothersome,long-awaited; eagerly awaited,shabby; rundown; seedy,extreme; excessive; terrible
現場には____量の書類が散乱していた。,おびただしい,はなばなしい,やかましい,なやましい,おびただしい,vast; a great many; innumerable,glorious; splendid; spectacular,noisy; fussy; particular,seductive; troubling; distressing
彼女の____気遣いに心を打たれた。,こまやかで,きよらかで,しなやかで,さわやかで,こまやかで,detailed; thoughtful; tender,pure; clean; graceful,flexible; supple; graceful,refreshing; clear; pleasant
彼は____手口で金をもうけていた。,あくどい,けむたい,まぶしい,はかない,あくどい,vicious; gaudy; malicious,smoky; hard to breathe; awkward (figuratively),dazzling; glaring; radiant,fleeting; transient; short-lived
この役職には、彼が最も____人物だと思う。,ふさわしい,みぐるしい,めざましい,たくましい,ふさわしい,suitable; appropriate; fitting,unsightly; disgraceful; shameful,remarkable; striking; outstanding,strong; robust; resilient
彼の努力は報われず、すべてが____なった。,むなしく,とうとく,ひさしく,たやすく,むなしく,in vain; fruitlessly; without result,noble; precious; valuable,for a long time; long-standing,easily; readily; without difficulty
内容を____説明すると、次のようになります。,おおまかに,ぞんざいに,にわかに,おろそかに,おおまかに,roughly; broadly; generally,rudely; carelessly; disrespectfully,suddenly; abruptly,neglectfully; carelessly; inattentively
彼の発言には根拠が____。,とぼしい,いやしい,あさましい,たくましい,とぼしい,scarce; lacking; meager,greedy; vulgar; lowly,shameful; wretched; disgraceful,strong; robust; resilient
昔の写真を見ると、____気持ちになる。,せつない,そっけない,つれない,あっけない,せつない,painful; heartrending; bittersweet,curt; blunt; cold,indifferent; cold; unfeeling,anticlimactic; disappointing; too brief
会議は____な雰囲気の中で進められた。,なごやか,ゆるやか,おろそか,しなやか,なごやか,peaceful; friendly; mild,gentle; loose; gradual,negligent; careless; inattentive,supple; flexible; graceful
このガラスは見た目より____ので、注意してください。,もろい,しぶい,だるい,ゆるい,もろい,fragile; brittle; easily broken,astringent; subdued; refined (taste or style),sluggish; weary; listless,loose; lenient; slow
人間関係が____と感じることもある。,わずらわしい,まぎらわしい,なやましい,みずぼらしい,わずらわしい,troublesome; annoying; bothersome,misleading; confusing,distressing; seductive; troubling,shabby; seedy; dilapidated
朝の空気がとても____。,すがすがしい,わかわかしい,はなばなしい,なれなれしい,すがすがしい,refreshing; invigorating,youthful; young-looking,glorious; splendid; magnificent,overly familiar; presumptuous
彼の____一言に、深く傷ついた。,なにげない,だらしない,みっともない,なさけない,なにげない,casual; unconcerned; innocent (without intent),sloppy; untidy; careless,disgraceful; unsightly; shameful,pathetic; shameful; miserable
彼は____勢いで反対した。,もうれつな,ものずきな,だいたんな,たくみな,もうれつな,fierce; intense; violent,curious; having unusual tastes,bold; daring; fearless,skillful; clever; deft
____風景を眺めながら散歩した。,のどかな,なめらかな,すこやかな,すみやかな,のどかな,tranquil; peaceful; calm,smooth; silky,healthy; vigorous,swift; prompt; quick
